,positivo_score
lindo produto,0.00025837764189921185
produto entrega antes do,0.00025792476811063844
lindo recomendo,0.0002574987330502094
antes do prazo eu,0.0002663557747348651
loja super,0.0002559154704101122
produto atendimento,0.00027703505617712927
entregou bem antes do,0.00025309054754928036
produto muito bom chegou,0.000252001336913765
beleza,0.0003028423606179164
recomendável,0.00025167283233432607
muito bom produto recomendo,0.00025088625615412853
do prazo gostei muito,0.00025072849754770646
do prazo tudo certinho,0.00026064446461938196
entrega chegou antes do,0.0002498114391056397
adorei meu produto,0.0002484093106193253
otimo produto entrega,0.00024823670853295094
recomendo muito bom,0.00026868025643243484
muito bom rápido,0.0002439977069941312
material bom,0.0003272552485902224
impecável,0.00025140836661525243
prazo produto de qualidade,0.0002603700330965927
dentro do prazo bem,0.0002432859903113386
agilidade na entrega,0.0002890076994126472
antes do prazo perfeito,0.00024281233597758285
chegou no prazo produto,0.0002427909664764638
produto veio bem embalado,0.0002522755469343549
muito satisfeita com produto,0.00024181735163928908
perfeito recomendo,0.00024144694632683095
meu filho amou,0.00023866130181488573
produto em perfeito estado,0.00026945352668704766
td ok,0.0002380212212114822
no prazo bem embalado,0.00027640661556670897
certinho antes do prazo,0.0002374213019192819
entrega rápida antes do,0.0002362366985831648
produto veio certinho,0.00023401734743803016
muito bom chegou bem,0.00023318095421223528
recebi dentro do prazo,0.00036434897862306796
produto de qualidade muito,0.0002589703728623304
chegou em perfeitas condições,0.00027683567569228724
conforme prometido,0.00024181022171992735
loja sempre,0.0002605271894304912
produto chegou muito antes,0.000230777729294218
cumpriu prometido,0.00023058957132998333
ótimo produto chegou antes,0.00023005040496718105
nota mil,0.0002298754610274234
prazo produto de ótima,0.000229777940002577
loja ótima,0.00022967356611881538
produto chegou bem embalado,0.0002295970674630327
bom entregue antes do,0.0002292906044930877
tudo nos conformes,0.00027552886789086425
muito bom entrega rápida,0.0002283877091592665
loja nota 10,0.000228282470746162
do prazo tudo certo,0.000246033469831834
muito satisfeita com compra,0.0002447196363329637
chegou muito rapido,0.00022712199870037725
execelente,0.00022693017799261563
melhor do que eu,0.00022668050206776206
chegou no prazo em,0.00023502245450791252
pedido chegou antes do,0.00024164683324596006
muito bom recomendo todos,0.00022498147024269973
excelente material,0.00022483522493879662
entrega bem rápida,0.00022439688694011093
eu recomendo muito,0.00022432598127583494
compra tranquila,0.00022401167882046835
blz,0.00022365095087132535
produto chegou muito rápido,0.00023404064577672124
atendimento excelente,0.00022300001669902687
super bem embalado,0.00022299359064954365
recomendo para todos,0.00022254084762378843
excelente preço,0.00023412990877185675
bom chegou bem antes,0.000221496898185725
do jeito que eu,0.00024406689559571
minha filha amou,0.00024220914176944597
produto de alta qualidade,0.00021949490575825956
corretamente antes do prazo,0.0002191569526666795
realizada antes do prazo,0.00021862153984943513
produto de qualidade recomendo,0.00021847600050310673
muito bom produto chegou,0.0002468241083901209
muito bom eu recomendo,0.00021812036104306863
dentro do prazo estipulado,0.00026416025502065443
recebido antes do prazo,0.00024101708152569188
entrega rápido,0.00021732853068438508
adorei muito,0.0002509782018456257
entrega foi bem antes,0.00022834443693375427
td certinho,0.0002641035578925813
do prazo eu recomendo,0.00021610426156813998
de ótima qualidade chegou,0.00022580462113987447
